,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Tecoanapa,MX,77.02,clear sky,16.52,-98.75,Hotel Manglares
121,Mahebourg,MU,77.0,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
122,Laborie,LC,75.99,few clouds,13.75,-60.98,Aupic Paradise
124,Pisco,PE,66.99,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
127,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
131,Lodja,CD,69.15,light rain,-3.48,23.43,
132,Narrabri,AU,71.6,scattered clouds,-30.32,149.78,Crossroads Hotel
137,Manta,EC,76.37,scattered clouds,-0.95,-80.73,Balandra Hotel
140,Antalaha,MG,79.81,light rain,-14.9,50.28,Hotel Vitasoa
143,Port Elizabeth,ZA,71.6,clear sky,-33.92,25.57,39 On Nile Guest House
144,Raga,SS,79.25,broken clouds,8.46,25.68,
146,Marawi,PH,78.69,moderate rain,8.0,124.29,Derogongan Residence
147,Taoudenni,ML,72.91,clear sky,22.68,-3.98,
150,Manado,ID,77.0,thunderstorm with light rain,1.49,124.85,Aryaduta Hotel
153,Coahuayana,MX,72.5,clear sky,18.73,-103.68,Hotel Los Arcos
155,Nisia Floresta,BR,77.0,scattered clouds,-6.09,-35.21,Rancho Crepusculo
157,Topaipi,CO,64.06,light rain,5.33,-74.3,Hacienda Vista Hermosa
159,Praia,CV,68.0,few clouds,14.92,-23.51,LT Aparthotel
166,Ballina,AU,78.8,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
169,Tulagi,SB,78.8,broken clouds,-9.1,160.15,Raiders Hotel & Dive
170,Ponta Do Sol,PT,60.01,light rain,32.67,-17.1,Hotel do Campo
172,Moron,AR,62.01,clear sky,-34.65,-58.62,Hotel Morón
173,Cockburn Town,TC,79.09,scattered clouds,21.46,-71.14,Osprey Beach Hotel
174,Bani,DO,77.0,light rain,18.28,-70.33,Hospedaje Henriquez
175,Vao,NC,71.26,heavy intensity rain,-22.67,167.48,Hotel Kou-Bugny
180,Chazuta,PE,70.81,clear sky,-6.57,-76.14,Fundo El Porvenir
183,Laguna De Perlas,NI,77.95,clear sky,12.34,-83.67,Hotel Best View
186,Mar Del Plata,AR,60.01,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
187,Tessalit,ML,75.52,few clouds,20.2,1.01,
192,Opuwo,,70.3,light rain,-18.06,13.84,ABBA Guesthouse
195,Kaeo,NZ,61.0,moderate rain,-35.1,173.78,Bushido Lodge
200,Iquitos,PE,71.6,mist,-3.75,-73.25,Cortez Malaga Techy Caroly
201,Seddon,AU,66.2,scattered clouds,-37.81,144.89,AKOM Docklands
203,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
204,Nishihara,JP,71.6,broken clouds,26.18,127.76,Minshuku Agaihama
207,Henties Bay,,60.01,light rain,-22.12,14.28,Fishermans Guest House
212,Mukhen,RU,61.03,overcast clouds,48.1,136.1,
213,Mariental,,73.29,scattered clouds,-24.63,17.97,Mariental Hotel
221,Mayumba,GA,78.58,light rain,-3.43,10.66,LIKWALE LODGE
222,Bafata,GW,70.36,scattered clouds,12.17,-14.75,
223,Xichang,CN,79.45,scattered clouds,27.9,102.26,Xichang ibis Hotel
226,Kruisfontein,ZA,68.2,clear sky,-34.0,24.73,Oyster Bay House Rental
232,Mildura,AU,73.4,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
237,Jesup,US,66.2,thunderstorm,31.61,-81.89,Western Motel
253,Bojnurd,IR,64.4,few clouds,37.47,57.33,Hotel negin
262,Port Macquarie,AU,73.99,overcast clouds,-31.43,152.92,Rydges Port Macquarie
266,Chuy,UY,63.68,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
269,Santa Cruz,BO,66.2,clear sky,-17.8,-63.17,Hotel Cortez
270,Sao Miguel Do Araguaia,BR,71.33,light rain,-13.28,-50.16,Hotel Executivo Palace
271,Vila Velha,BR,73.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
272,Cidreira,BR,65.88,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
273,Arrecife,ES,64.4,broken clouds,28.96,-13.55,Hotel Lancelot
278,Vila Do Maio,CV,68.0,few clouds,15.13,-23.22,Residence 'I Delfini'
281,Beira,MZ,75.2,few clouds,-19.84,34.84,Beira Terrace Hotel
284,Cabo San Lucas,MX,68.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
285,Chik,RU,68.0,clear sky,54.99,82.43,Dacha
290,Jacareacanga,BR,71.13,broken clouds,-6.22,-57.75,Casa do Ian😎
291,Kidal,ML,78.71,few clouds,18.44,1.41,
296,Copiapo,CL,60.8,clear sky,-27.37,-70.33,Antay Casino Hotel
312,Belmonte,BR,71.6,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
315,Naze,JP,71.6,scattered clouds,28.37,129.48,奄美ポートタワーホテル
321,Xiashi,CN,68.4,scattered clouds,30.54,120.69,皮都锦江大酒店
323,Guangyuan,CN,69.01,overcast clouds,32.44,105.82,Guangyuan Poetry Hotel
332,Cajititlan,MX,69.8,clear sky,20.43,-103.32,La Pradera Eventos
333,Tsiroanomandidy,MG,70.81,clear sky,-18.77,46.03,
336,Tukrah,LY,69.78,overcast clouds,32.53,20.58,استراحة لاقروتا
337,Carutapera,BR,78.91,scattered clouds,-1.2,-46.02,Lidera
341,Araripe,BR,66.83,light rain,-7.21,-40.05,
343,Bibiani,GH,72.23,overcast clouds,6.46,-2.32,Rodick Hotel
345,Goksun,TR,64.4,overcast clouds,38.02,36.5,Tuğçe Otel
348,Korla,CN,66.18,light rain,41.76,86.15,Gulisitan Hotel
354,Monrovia,LR,78.8,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
355,Enterprise,US,69.8,few clouds,36.03,-115.24,Highland Inn Las Vegas
363,Adrar,MR,69.93,clear sky,20.5,-10.07,
365,Cayenne,GF,75.2,moderate rain,4.93,-52.33,Hôtel Le Dronmi
366,Marsa Matruh,EG,60.8,clear sky,31.35,27.25,Beau Site
369,Lima,PE,68.0,few clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
374,Maceio,BR,78.53,light rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
376,Aranos,,69.62,clear sky,-24.13,19.12,Ley-Lia Guest House
381,Ituango,CO,60.87,overcast clouds,7.17,-75.76,HOTEL LA CASONA ITUANGO
382,Teguise,ES,64.4,broken clouds,29.06,-13.56,B&B La Casona de Nazaret
383,Aswan,EG,77.81,clear sky,24.09,32.91,Nuba Nile
385,Barreiras,BR,69.49,scattered clouds,-12.15,-44.99,Hotel Solar das Mangueiras - Barreiras
388,Ginda,IN,66.56,scattered clouds,30.69,78.49,Bherav Hotel Manpur
389,New Amsterdam,GY,77.47,moderate rain,6.25,-57.52,Little Rock Suites
394,Ginir,ET,67.69,light rain,7.13,40.7,Sura Dare Village
396,Quatre Cocos,MU,77.0,light intensity shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
397,Souillac,MU,77.0,light intensity shower rain,-20.52,57.52,Bils' Villa
401,Kasane,BW,66.2,clear sky,-17.82,25.15,Cresta Mowana
407,Tigzirt,DZ,62.38,light rain,36.89,4.12,Appartement de la plage
410,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
411,Fuzhou,CN,69.8,overcast clouds,26.06,119.31,Shangri La Hotel Fuzhou
412,Goya,AR,61.74,clear sky,-29.14,-59.26,Apart Costanera
414,Geraldton,AU,75.2,clear sky,-28.77,114.6,Broadwater Mariner Resort
415,Kutum,SD,74.05,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
416,Basoko,CD,73.89,overcast clouds,1.24,23.62,Flat Hotel La Benediction
418,Cururupu,BR,76.75,broken clouds,-1.83,-44.87,Pousada Través'cia
423,Fort Pierce,US,77.0,clear sky,27.45,-80.33,Hutchinson Island Plaza Hotel & Suites
425,Ourossogui,SN,78.8,overcast clouds,15.61,-13.32,Auberge Sogui
430,Ixtapa,MX,73.4,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
431,Kalabo,ZM,66.97,few clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
432,Richards Bay,ZA,70.02,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
434,Sao Jose Da Coroa Grande,BR,79.07,moderate rain,-8.9,-35.15,Crôa Mares Hotel
439,Mabaruma,GY,75.15,broken clouds,8.2,-59.78,
440,Shingu,JP,68.0,broken clouds,33.73,135.98,新宮ユーアイホテル
445,Corumba,BR,70.68,clear sky,-19.01,-57.65,Hotel Laura Vicunha
447,Lethem,GY,79.14,light rain,3.38,-59.8,Savannah Inn
449,Waddan,LY,79.88,overcast clouds,29.16,16.14,محل الشريف محمد العايب
450,Marzuq,YE,76.48,light rain,14.4,46.47,
451,Knysna,ZA,60.8,broken clouds,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
452,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
454,Tucuma,BR,75.45,light rain,-0.18,-50.05,
457,Galveston,US,73.0,light rain,29.37,-94.97,Comfort Inn & Suites Texas City
459,Zhob,PK,68.49,scattered clouds,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
460,Gaoua,BF,79.02,broken clouds,10.3,-3.25,
462,Siparia,TT,77.0,few clouds,10.13,-61.5,Brook Gardens
463,Umm Kaddadah,SD,79.99,overcast clouds,13.6,26.69,
464,Oshakati,,69.8,broken clouds,-17.78,15.68,Oshakati Guest Hotel
475,Kishi,NG,76.21,overcast clouds,9.08,3.85,AMARC GUEST HOUSE
479,Were Ilu,ET,61.56,overcast clouds,10.6,39.43,
480,Tongzhou,CN,62.01,clear sky,39.91,116.6,Inner Mongolia Hotel
481,Barra Do Garcas,BR,71.28,light rain,-15.89,-52.26,Hotel Pousada Tropical
484,Tashara,RU,63.05,scattered clouds,55.52,83.51,
485,Marsh Harbour,BS,78.57,broken clouds,26.54,-77.06,Abaco Beach Resort
486,Nago,JP,71.6,overcast clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
487,Viedma,AR,60.71,overcast clouds,-40.81,-63.0,Hotel Cristal
489,Cangucu,BR,64.99,clear sky,-31.39,-52.68,Hotel Telesca
493,Kundiawa,PG,74.93,light rain,-6.02,144.97,Kundiawa Hotel
494,Saryozek,KZ,68.72,clear sky,44.36,77.98,Gostinitsa
500,Itoman,JP,71.6,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
501,Hurghada,EG,75.2,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
502,Oktyabrskoye,RU,60.01,few clouds,43.06,44.74,Prolesok Mini-hotel
507,Guerrero Negro,MX,60.19,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
511,Outjo,,64.4,broken clouds,-20.12,16.15,Kai-Oms Backpackers Lodge
514,Fort-Shevchenko,KZ,61.5,clear sky,44.51,50.26,Oasis hotel Bautino
515,Uchiza,PE,69.55,few clouds,-8.46,-76.46,Hotel El Rancho
518,Mwinilunga,ZM,62.37,few clouds,-11.74,24.43,Kwakuwahi Lodge
522,Assare,BR,68.61,light rain,-6.87,-39.88,José Xavier de Andrade
527,Atar,MR,65.21,clear sky,20.52,-13.05,Oumou Elghoura
529,Derzhavinsk,KZ,70.59,overcast clouds,51.1,66.32,Ooo.khim Baza
530,Dembi Dolo,ET,70.12,overcast clouds,8.53,34.8,Ayyantu kadir
